,group,names,scores,logfoldchanges,pvals,pvals_adj,experiment
282,1m,C1qtnf6,4.771293,4.0770483,1.8304701563198174e-06,4.9113151299891556e-05,Limb-Muscle_skeletal muscle satellite cell
4,1m,Col1a1,14.469793,3.5886593,1.88035550609605e-47,3.1660965516419305e-45,Limb-Muscle_skeletal muscle satellite cell
5,1m,Mest,12.34564,3.5317538,5.142330246293592e-35,6.843031564039561e-33,Limb-Muscle_skeletal muscle satellite cell
1332,1m,Top1mt,2.7991607,3.483829,0.005123562573302317,0.04659236868931494,Limb-Muscle_skeletal muscle satellite cell
566,1m,Kif21a,3.9034607,3.244447,9.48269472813817e-05,0.001631636555881209,Limb-Muscle_skeletal muscle satellite cell
1,1m,Col1a2,17.865032,3.1291492,2.208080184189897e-71,7.752240663684572e-69,Limb-Muscle_skeletal muscle satellite cell
49774,30m,Spock3,4.179004,2.8771758,2.927880402509832e-05,0.0012078238630453685,Limb-Muscle_skeletal muscle satellite cell
49732,30m,Slc16a3,5.0524983,2.4129634,4.3606827351292974e-07,2.6454274195723728e-05,Limb-Muscle_skeletal muscle satellite cell
49699,30m,Usp37,5.4953966,2.1245465,3.8983330540770264e-08,2.8589508322366674e-06,Limb-Muscle_skeletal muscle satellite cell
33190,24m,Ms4a4d,3.8658903,1.9343917,0.00011068468472499148,0.008378018269023322,Limb-Muscle_skeletal muscle satellite cell
49615,30m,Cfh,7.189992,1.8771096,6.479524461073013e-13,8.763822387882443e-11,Limb-Muscle_skeletal muscle satellite cell
16695,18m,S100a4,3.5267506,1.7959902,0.0004206927973872879,0.027438149603508447,Limb-Muscle_skeletal muscle satellite cell
49662,30m,Ell2,6.3358,1.7525733,2.361123008406595e-10,2.2391316529722543e-08,Limb-Muscle_skeletal muscle satellite cell
49733,30m,Tuba4a,5.0278926,1.7422662,4.958988927184617e-07,2.997372757782907e-05,Limb-Muscle_skeletal muscle satellite cell
49698,30m,Igf2,5.5113053,1.7239456,3.561822764753124e-08,2.635589122923377e-06,Limb-Muscle_skeletal muscle satellite cell
49541,30m,Mtap1b,9.732521,1.695353,2.1909500484616687e-22,8.817772377967315e-20,Limb-Muscle_skeletal muscle satellite cell
33003,24m,Ccl19,9.605236,1.6634842,7.598367392473987e-22,3.1345165085803312e-18,Limb-Muscle_skeletal muscle satellite cell
49686,30m,Gbp2,5.7074065,1.6317953,1.1471053386326722e-08,9.18853650134841e-07,Limb-Muscle_skeletal muscle satellite cell
16518,18m,Plac9,11.068961,1.6204792,1.7744612940333082e-28,1.6266881007135344e-25,Limb-Muscle_skeletal muscle satellite cell
49697,30m,Irgm1,5.5176687,1.6061767,3.435260934331032e-08,2.553389219702539e-06,Limb-Muscle_skeletal muscle satellite cell
33005,24m,Plac9,9.112845,1.4827287,8.02491135118579e-20,2.206984370098612e-16,Limb-Muscle_skeletal muscle satellite cell
33082,24m,Rhoh,5.436441,1.442191,5.435532004346717e-08,1.0077720629632043e-05,Limb-Muscle_skeletal muscle satellite cell
33187,24m,Isg20,3.9033468,1.3148096,9.487160431950532e-05,0.007315310013439987,Limb-Muscle_skeletal muscle satellite cell
33141,24m,2010002N04Rik,4.6493297,1.244581,3.3301574969213155e-06,0.00035000591628470465,Limb-Muscle_skeletal muscle satellite cell
33220,24m,Tuba4a,3.4742231,1.2445172,0.0005123347967719825,0.0314276449127676,Limb-Muscle_skeletal muscle satellite cell
33228,24m,Palmd,3.337617,1.2023478,0.0008450013495132322,0.04808057678730291,Limb-Muscle_skeletal muscle satellite cell
33043,24m,Mtap1b,6.2434874,1.1478126,4.279209985395093e-10,1.4710675826875923e-07,Limb-Muscle_skeletal muscle satellite cell
33069,24m,A130040M12Rik,5.7104926,1.0993264,1.1264961844281496e-08,2.478441805233186e-06,Limb-Muscle_skeletal muscle satellite cell
16580,18m,Rarres2,8.159101,0.9653725,3.375291932558192e-16,6.961961522392841e-14,Limb-Muscle_skeletal muscle satellite cell
16702,18m,Casp4,3.3633072,0.9104666,0.0007701461330812406,0.046380223875815876,Limb-Muscle_skeletal muscle satellite cell
16572,18m,S100a6,9.395819,0.8953704,5.6774417409725785e-21,1.3011592523303961e-18,Limb-Muscle_skeletal muscle satellite cell
16675,18m,Mvp,3.8312438,0.748928,0.00012749708158708804,0.009785252759388557,Limb-Muscle_skeletal muscle satellite cell
16666,18m,Prelp,3.9435163,0.7189422,8.029556988088286e-05,0.0065268827517460494,Limb-Muscle_skeletal muscle satellite cell
16607,18m,Ltbp4,6.258171,0.71220976,3.895183299071079e-10,6.006955104483353e-08,Limb-Muscle_skeletal muscle satellite cell
16699,18m,Timp3,3.40242,0.710501,0.0006679187585974086,0.04143356178802947,Limb-Muscle_skeletal muscle satellite cell
16682,18m,Mgp,3.7187688,0.70687115,0.00020019618587009013,0.014466044564235088,Limb-Muscle_skeletal muscle satellite cell
49595,30m,Gm12250,5.041008,4.1058264,4.63086439331884e-07,6.531101996081554e-05,Limb-Muscle_smooth muscle cell
49680,30m,Tgtp2,3.8922944,3.4178572,9.930061831066619e-05,0.006425723540173737,Limb-Muscle_smooth muscle cell
17,1m,Dbp,6.1760535,3.3658693,6.57237331662669e-10,1.6684728015024156e-07,Limb-Muscle_smooth muscle cell
49523,30m,Mnda,7.3311367,2.9865375,2.2820888118187125e-13,1.5690311451591906e-10,Limb-Muscle_smooth muscle cell
