,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Chd1,0.100707472,4.39E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100707472
Hsd3b3,-0.100658556,4.44E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100658556
1810020D17Rik,-0.100639937,4.46E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100639937
Cdc5l,0.100583414,4.51E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100583414
Gm9926,0.100505482,4.59E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100505482
Cdkn3,-0.100436002,4.66E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100436002
Cdh1,-0.100407833,4.69E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100407833
Plcl1,0.100393572,4.70E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100393572
Plaa,-0.100369135,4.73E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100369135
1110038F14Rik,0.100352178,4.75E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100352178
Zfp955b,0.100280038,4.82E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100280038
Mnat1,0.10015957,4.95E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10015957
Saa3,0.1001438,4.97E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.1001438
Mthfd1,-0.100126818,4.99E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100126818
Cyp2a4,0.100112913,5.00E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100112913
Celf1,0.100091847,5.03E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100091847
Met,-0.100063655,5.06E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100063655
Psmc1,-0.100046625,5.08E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100046625
Pkp4,-0.10003074,5.09E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10003074
Mut,-0.100029613,5.09E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100029613
Npm3,-0.099978258,5.15E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099978258
Ppic,-0.099938947,5.20E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099938947
Nhs,0.09987569,5.27E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.09987569
Zfp697,0.099798686,5.36E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099798686
Scyl1,-0.099779323,5.38E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099779323
Psma2,-0.099774839,5.39E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099774839
Lama3,0.099700883,5.47E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099700883
Tbc1d16,-0.099699583,5.47E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099699583
Etv6,-0.099659718,5.52E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099659718
Mrps36,-0.099654825,5.53E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099654825
Col12a1,0.099616048,5.57E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099616048
Tgfbr2,-0.099561285,5.64E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099561285
Bhlhe40,-0.099515267,5.70E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099515267
Aldh3b1,-0.099491928,5.73E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099491928
2310046O06Rik,0.099425214,5.81E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.099425214
